time,open,high,low,close,volume,closetime,assetvolume,trade_count,taker_buy_asset_volume,taker_buy_quote_volume,ignore
1567958400000,10000,10357.53,10000,10340.12,471.661,1567972799999,4879792.35634,564,0.001,0.00010,0
1567972800000,10340.12,10412.65,10324.77,10391.63,2624.630,1567987199999,27216488.09363,3190,0.038,393.35617,0
1567987200000,10316.62,10316.68,10267.37,10297.89,779.449,1568001599999,8030850.10361,901,0,0,0
1568001600000,10297.89,10316.34,10092.71,10149.47,2664.789,1568015999999,27367282.58431,3119,0.001,10.30921,0
1568016000000,10149.47,10475.54,10077.22,10414.60,2466.485,1568030399999,25213737.33169,2424,280.132,2915767.40724,0
1568030400000,10411.70,10411.70,10302.69,10314.26,3386.015,1568044799999,35043489.79263,1738,1754.471,18158454.28236,0
1568044800000,10314.26,10333.55,10183.31,10308.87,3915.329,1568059199999,40190487.45874,1917,2254.790,23146750.00995,0
1568059200000,10307.80,10420.65,10228.28,10307,1612.306,1568073599999,16601362.30055,1197,1163.057,11976413.21315,0
1568073600000,10307,10382.97,10266.61,10307.25,1547.455,1568087999999,15983811.89959,1752,1300.905,13435749.74522,0
1568088000000,10309.17,10329.24,10226.81,10272.46,1706.083,1568102399999,17540641.00176,1721,1597.677,16427196.98788,0
1568102400000,10271.93,10290.01,10206.87,10254.56,1409.001,1568116799999,14445455.44815,1321,1238.489,12697733.92410,0
1568116800000,10252.70,10270.58,10167.91,10179.10,1529.810,1568131199999,15638144.34140,1880,789.738,8076091.04754,0
1568131200000,10172.13,10237.41,9940.87,10026.56,1413.946,1568145599999,14376866.27488,1649,824.835,8402203.09881,0
1568145600000,10021.49,10127.22,9991.73,10102.02,1462.660,1568159999999,14732726.20892,1766,643.818,6487382.14752,0
1568160000000,10094.27,10293.11,10051,10093.88,1377.981,1568174399999,13945812.34089,1601,813.921,8241336.64843,0
1568174400000,10091.53,10097.65,9884.31,10067.46,1416.504,1568188799999,14209889.67039,1782,660.964,6630542.08258,0
1568188800000,10068.41,10138.01,9988.69,10070.53,1031.664,1568203199999,10375018.90573,1531,928.720,9339750.10778,0
1568203200000,10062.34,10101.38,9973.15,9991.84,1826.186,1568217599999,18315055.37735,2599,1296.895,13008860.99951,0
1568217600000,9992.18,10123.29,9934.11,10077.60,2623.529,1568231999999,26394315.18488,3343,1995.336,20077711.60471,0
1568232000000,10073.64,10184.66,10064.11,10159.55,2622.058,1568246399999,26546144.36050,2955,2028.606,20542958.25644,0
1568246400000,10163.06,10205.46,10085.88,10113.43,2704.325,1568260799999,27405923.08543,3196,2252.247,22824514.31054,0
1568260800000,10116.97,10129.19,10042.12,10078.96,2502.598,1568275199999,25224801.36655,2899,1766.065,17805936.36075,0
1568275200000,10079.76,10187.90,10076.95,10170.93,2531.512,1568289599999,25668876.09134,3296,2024.341,20525494.27633,0
1568289600000,10170,10365.15,10170,10326.58,2529,1568303999999,25983437.44291,3695,1756.385,18033396.93444,0
1568304000000,10327.25,10349.91,10239.42,10308.80,2724.169,1568318399999,28048678.81225,3453,1102.982,11360386.24458,0
1568318400000,10301.82,10450.13,10300.85,10415.13,2618.030,1568332799999,27162520.63566,3521,1215.778,12610932.35765,0
1568332800000,10414.96,10440.55,10329.30,10364.64,2483.692,1568347199999,25761224.66985,3203,1877.255,19469032.02095,0
1568347200000,10364.82,10399.81,10267.89,10284.03,3589.585,1568361599999,37017450.69898,4958,2332.348,24046043.80237,0
1568361600000,10283.68,10327.14,10251.99,10306.52,3343.982,1568375999999,34420861.64586,5269,1344.156,13835847.43378,0
1568376000000,10306.52,10344,10270,10296.57,3556.490,1568390399999,36644392.93332,4966,1326.032,13661227.79663,0
1568390400000,10294.81,10310.08,10186.34,10210.25,3278.396,1568404799999,33557948.70358,5539,1520.873,15553333.38764,0
1568404800000,10210.25,10355.85,10153.51,10341.34,3000.576,1568419199999,30803523.15328,5314,1316.464,13517577.61085,0
1568419200000,10343.01,10353.72,10267.08,10280.77,3297.903,1568433599999,33972015.49860,4872,1349.157,13901814.14608,0
1568433600000,10280.58,10330.61,10259.75,10316.67,2973.282,1568447999999,30594570.79234,5158,1215.373,12516021.05174,0
1568448000000,10319.07,10348,10287.53,10291.93,3337.285,1568462399999,34400630.72808,4634,1917.778,19777159.14697,0
1568462400000,10292.13,10396.40,10222.77,10358,4138.968,1568476799999,42702660.29919,5977,2441.817,25216215.61741,0
1568476800000,10355.61,10398,10325.41,10363.80,3532.679,1568491199999,36613387.58213,4802,1269.010,13150730.33502,0
1568491200000,10363.63,10419.97,10317.39,10332.25,3376.507,1568505599999,34987245.43519,4993,1329.412,13785119.66561,0
1568505600000,10333.47,10359.20,10024.81,10303.39,3539.363,1568519999999,36519047.17907,4506,1051.235,10854948.95043,0
1568520000000,10302.49,10326.59,10273.21,10308.96,3019.367,1568534399999,31117844.68556,4040,775.190,7991443.18735,0
1568534400000,10308.08,10320,10268.55,10296.63,3250.042,1568548799999,33462224.12991,4436,818.878,8430902.80104,0
1568548800000,10296.54,10317.29,10252.28,10306.37,3755.871,1568563199999,38627124.70962,4735,2174.991,22364565.40780,0
1568563200000,10306.79,10332.61,10280.14,10294.68,3603.548,1568577599999,37114189.27613,4183,1965.276,20249960.93425,0
1568577600000,10294.46,10316.45,10265.32,10302.22,3368.064,1568591999999,34672116.05778,4012,644.591,6635620.81895,0
1568592000000,10302,10353.81,10300,10300.07,3490.788,1568606399999,36056365.49702,4217,1370.645,14153169.34321,0
1568606400000,10300.24,10325,10279.69,10302.30,3131.662,1568620799999,32271850.65049,3971,731.083,7534607.68242,0
1568620800000,10301.95,10316.71,10275.74,10282.74,3112.623,1568635199999,32062949.75518,4340,913.353,9408740.44234,0
1568635200000,10282.03,10282.03,10115,10120.07,3548.878,1568649599999,36033905.24281,8307,1939.428,19691886.79103,0
1568649600000,10117.40,10160.39,10080.70,10124.17,3419.057,1568663999999,34658156.40572,4859,952.387,9651691.70341,0
1568664000000,10120.37,10329.38,10119.29,10249.27,3482.629,1568678399999,35684265.12061,6143,1047.686,10737400.17687,0
1568678400000,10257.30,10261.36,10175.20,10224.09,3556.014,1568692799999,36339294.86991,4817,1283.377,13115425.68559,0
1568692800000,10225.02,10230.79,10165,10201.89,3853.531,1568707199999,39303621.66615,4883,1200.905,12247301.44536,0
1568707200000,10202.92,10205.81,10136.77,10163,3791.041,1568721599999,38561567.01783,5184,2842.765,28910740.51623,0
1568721600000,10162.70,10244.27,10151.62,10201.14,3859.972,1568735999999,39383953.57784,5980,2044.663,20857243.56702,0
1568736000000,10201.09,10262.49,10200.39,10255.91,3683.462,1568750399999,37710249.01969,5454,2665.533,27290031.39014,0
1568750400000,10256.52,10270.63,10171.37,10186.52,3775.587,1568764799999,38612862.03134,5217,2631.866,26915327.22106,0
1568764800000,10183.87,10256.65,10183.87,10206.05,3573.478,1568779199999,36523512.52026,4442,2794.148,28556421.57220,0
1568779200000,10206.02,10228.41,10185.60,10198.54,3431.504,1568793599999,35025031.49672,4443,2430.839,24810444.31782,0
1568793600000,10199.39,10199.47,10150,10156.12,3257.517,1568807999999,33154877.43444,5193,2147.998,21863430.31860,0
1568808000000,10156.70,10210,10097.92,10172.91,4003.080,1568822399999,40719599.73064,5691,1726.281,17563836.13517,0
1568822400000,10172.84,10212.25,10132.51,10171.17,3340.706,1568836799999,34029449.75358,5469,2337.695,23814647.60340,0
1568836800000,10172.65,10211.90,10143,10155.16,3226.610,1568851199999,32857284.08124,5561,2027.242,20641817.62139,0
1568851200000,10154.70,10185.55,9530.02,9821.97,4653.142,1568865599999,46543025.13203,9426,1880.367,18871342.37243,0
1568865600000,9820.96,9916,9780.75,9872.38,3896.305,1568879999999,38389027.31388,5709,919.357,9058076.28364,0
1568880000000,9872.71,9895.37,9820,9856.50,3859.260,1568894399999,38069227.52278,5415,1344.745,13264156.21865,0
1568894400000,9856.50,9893.57,9845.11,9880.36,3577.789,1568908799999,35295063.44416,4859,890.996,8790628.33887,0
1568908800000,9882,10109.51,9875.25,10086.98,4871.372,1568923199999,48806271.78313,7700,2383.452,23861235.81966,0
1568923200000,10088.91,10331.62,10088.91,10245.30,5370.886,1568937599999,55009494.83017,8762,2794.875,28626102.29315,0
1568937600000,10247.70,10279.30,10154.70,10214.76,4230.857,1568951999999,43232975.13152,5281,2860.067,29229487.04046,0
1568952000000,10212.78,10222.92,10148.99,10156.45,3706.694,1568966399999,37737945.75658,4898,2210.033,22508854.23953,0
1568966400000,10156.11,10187.10,10121.30,10173.72,3454.159,1568980799999,35069941.55536,4894,1100.647,11177072.45295,0
1568980800000,10172.45,10236.19,10141.31,10180.66,4066.386,1568995199999,41409977.90918,5626,1098.893,11193185.22235,0
1568995200000,10179.55,10189.13,10070.50,10161.60,3987.006,1569009599999,40467678.98252,5633,1201.461,12187416.62538,0
1569009600000,10161.40,10185.34,10070.67,10166.35,3820.808,1569023999999,38765284.34292,4722,1046.027,10609391.50265,0
1569024000000,10166.56,10175.30,10116.80,10124.75,3662.893,1569038399999,37164002.46315,4032,802.518,8139426.90058,0
1569038400000,10124.35,10126.81,9963.02,10079.89,4673.538,1569052799999,47087749.51155,6259,1858.380,18722001.25148,0
1569052800000,10081.07,10081.07,9983.25,10046.60,3967.174,1569067199999,39762708.22571,6235,1680.330,16845516.24421,0
1569067200000,10046.60,10067,9912.63,10037.11,3990.876,1569081599999,39907485.76184,6220,1086.508,10862233.30728,0
1569081600000,10037.05,10056,9959.97,10016.80,3519.366,1569095999999,35178652.19145,5125,1208.087,12075347.48587,0
1569096000000,10016.78,10023.56,9943.05,9983.33,3828.540,1569110399999,38220062.10326,4799,1583.795,15804996.54469,0
1569110400000,9992.70,10001.98,9862.81,9872.07,4561.077,1569124799999,45269443.64912,6202,1980.423,19659815.43591,0
1569124800000,9872,10053.56,9857,10023.53,3791.352,1569139199999,37656455.00144,5437,1460.307,14503030.93630,0
1569139200000,10024.91,10089.52,9978.96,10001.83,3755.569,1569153599999,37623286.87611,5765,2294.118,22980707.55839,0
1569153600000,10000.53,10057.43,9932.01,9989.89,3816.779,1569167999999,38136508.28223,5869,1424.505,14237726.76860,0
1569168000000,9990,10025,9949.20,9987.48,4011.848,1569182399999,40084844.55310,5449,1577.069,15762505.17513,0
1569182400000,9987.61,10073.46,9982.60,10023.04,3979.729,1569196799999,39918081.97646,4679,1729.973,17360459.78449,0
1569196800000,10027.69,10046.91,9950,9975.58,4722.711,1569211199999,47159850.10328,5187,2889.081,28850902.28331,0
1569211200000,9978.57,9983.81,9878.51,9904,3827.303,1569225599999,38025371.43634,5324,1264.701,12557662.66757,0
1569225600000,9904,9968.49,9904,9915.09,3484.654,1569239999999,34634386.21151,4717,1356.361,13484030.27270,0
1569240000000,9914.11,9951.05,9708.91,9867.06,7566.861,1569254399999,74649032.27112,11368,4069.422,40155572.90225,0
1569254400000,9867.54,9883.89,9779,9805.10,4499.082,1569268799999,44175799.66730,6028,2022.901,19862388.73134,0
1569268800000,9804.39,9836.28,9620,9701.96,7826.451,1569283199999,76105051.93755,9566,3322.085,32316418.32600,0
1569283200000,9701.10,9792.83,9603.50,9718.71,4279.612,1569297599999,41545510.76779,7809,1930.945,18741146.82568,0
1569297600000,9718.63,9791.07,9689,9755.67,2594.573,1569311999999,25283196.89633,6341,1019.881,9937486.07121,0
